,File,Schema
0,yellow_2009-01.parquet,"[('vendor_name', 'string'), ('Trip_Pickup_DateTime', 'string'), ('Trip_Dropoff_DateTime', 'string'), ('Passenger_Count', 'bigint'), ('Trip_Distance', 'double'), ('Start_Lon', 'double'), ('Start_Lat', 'double'), ('Rate_Code', 'double'), ('store_and_forward', 'double'), ('End_Lon', 'double'), ('End_Lat', 'double'), ('Payment_Type', 'string'), ('Fare_Amt', 'double'), ('surcharge', 'double'), ('mta_tax', 'double'), ('Tip_Amt', 'double'), ('Tolls_Amt', 'double'), ('Total_Amt', 'double')]"
1,yellow_2009-02.parquet,"[('vendor_name', 'string'), ('Trip_Pickup_DateTime', 'string'), ('Trip_Dropoff_DateTime', 'string'), ('Passenger_Count', 'bigint'), ('Trip_Distance', 'double'), ('Start_Lon', 'double'), ('Start_Lat', 'double'), ('Rate_Code', 'double'), ('store_and_forward', 'double'), ('End_Lon', 'double'), ('End_Lat', 'double'), ('Payment_Type', 'string'), ('Fare_Amt', 'double'), ('surcharge', 'double'), ('mta_tax', 'double'), ('Tip_Amt', 'double'), ('Tolls_Amt', 'double'), ('Total_Amt', 'double')]"
2,yellow_2009-03.parquet,"[('vendor_name', 'string'), ('Trip_Pickup_DateTime', 'string'), ('Trip_Dropoff_DateTime', 'string'), ('Passenger_Count', 'bigint'), ('Trip_Distance', 'double'), ('Start_Lon', 'double'), ('Start_Lat', 'double'), ('Rate_Code', 'double'), ('store_and_forward', 'double'), ('End_Lon', 'double'), ('End_Lat', 'double'), ('Payment_Type', 'string'), ('Fare_Amt', 'double'), ('surcharge', 'double'), ('mta_tax', 'double'), ('Tip_Amt', 'double'), ('Tolls_Amt', 'double'), ('Total_Amt', 'double')]"
3,yellow_2009-04.parquet,"[('vendor_name', 'string'), ('Trip_Pickup_DateTime', 'string'), ('Trip_Dropoff_DateTime', 'string'), ('Passenger_Count', 'bigint'), ('Trip_Distance', 'double'), ('Start_Lon', 'double'), ('Start_Lat', 'double'), ('Rate_Code', 'double'), ('store_and_forward', 'double'), ('End_Lon', 'double'), ('End_Lat', 'double'), ('Payment_Type', 'string'), ('Fare_Amt', 'double'), ('surcharge', 'double'), ('mta_tax', 'double'), ('Tip_Amt', 'double'), ('Tolls_Amt', 'double'), ('Total_Amt', 'double')]"
4,yellow_2009-05.parquet,"[('vendor_name', 'string'), ('Trip_Pickup_DateTime', 'string'), ('Trip_Dropoff_DateTime', 'string'), ('Passenger_Count', 'bigint'), ('Trip_Distance', 'double'), ('Start_Lon', 'double'), ('Start_Lat', 'double'), ('Rate_Code', 'double'), ('store_and_forward', 'double'), ('End_Lon', 'double'), ('End_Lat', 'double'), ('Payment_Type', 'string'), ('Fare_Amt', 'double'), ('surcharge', 'double'), ('mta_tax', 'double'), ('Tip_Amt', 'double'), ('Tolls_Amt', 'double'), ('Total_Amt', 'double')]"
5,yellow_2009-06.parquet,"[('vendor_name', 'string'), ('Trip_Pickup_DateTime', 'string'), ('Trip_Dropoff_DateTime', 'string'), ('Passenger_Count', 'bigint'), ('Trip_Distance', 'double'), ('Start_Lon', 'double'), ('Start_Lat', 'double'), ('Rate_Code', 'double'), ('store_and_forward', 'double'), ('End_Lon', 'double'), ('End_Lat', 'double'), ('Payment_Type', 'string'), ('Fare_Amt', 'double'), ('surcharge', 'double'), ('mta_tax', 'double'), ('Tip_Amt', 'double'), ('Tolls_Amt', 'double'), ('Total_Amt', 'double')]"
6,yellow_2009-07.parquet,"[('vendor_name', 'string'), ('Trip_Pickup_DateTime', 'string'), ('Trip_Dropoff_DateTime', 'string'), ('Passenger_Count', 'bigint'), ('Trip_Distance', 'double'), ('Start_Lon', 'double'), ('Start_Lat', 'double'), ('Rate_Code', 'double'), ('store_and_forward', 'double'), ('End_Lon', 'double'), ('End_Lat', 'double'), ('Payment_Type', 'string'), ('Fare_Amt', 'double'), ('surcharge', 'double'), ('mta_tax', 'double'), ('Tip_Amt', 'double'), ('Tolls_Amt', 'double'), ('Total_Amt', 'double')]"
7,yellow_2009-08.parquet,"[('vendor_name', 'string'), ('Trip_Pickup_DateTime', 'string'), ('Trip_Dropoff_DateTime', 'string'), ('Passenger_Count', 'bigint'), ('Trip_Distance', 'double'), ('Start_Lon', 'double'), ('Start_Lat', 'double'), ('Rate_Code', 'double'), ('store_and_forward', 'double'), ('End_Lon', 'double'), ('End_Lat', 'double'), ('Payment_Type', 'string'), ('Fare_Amt', 'double'), ('surcharge', 'double'), ('mta_tax', 'double'), ('Tip_Amt', 'double'), ('Tolls_Amt', 'double'), ('Total_Amt', 'double')]"
8,yellow_2009-09.parquet,"[('vendor_name', 'string'), ('Trip_Pickup_DateTime', 'string'), ('Trip_Dropoff_DateTime', 'string'), ('Passenger_Count', 'bigint'), ('Trip_Distance', 'double'), ('Start_Lon', 'double'), ('Start_Lat', 'double'), ('Rate_Code', 'double'), ('store_and_forward', 'double'), ('End_Lon', 'double'), ('End_Lat', 'double'), ('Payment_Type', 'string'), ('Fare_Amt', 'double'), ('surcharge', 'double'), ('mta_tax', 'double'), ('Tip_Amt', 'double'), ('Tolls_Amt', 'double'), ('Total_Amt', 'double')]"
9,yellow_2009-10.parquet,"[('vendor_name', 'string'), ('Trip_Pickup_DateTime', 'string'), ('Trip_Dropoff_DateTime', 'string'), ('Passenger_Count', 'bigint'), ('Trip_Distance', 'double'), ('Start_Lon', 'double'), ('Start_Lat', 'double'), ('Rate_Code', 'double'), ('store_and_forward', 'double'), ('End_Lon', 'double'), ('End_Lat', 'double'), ('Payment_Type', 'string'), ('Fare_Amt', 'double'), ('surcharge', 'double'), ('mta_tax', 'double'), ('Tip_Amt', 'double'), ('Tolls_Amt', 'double'), ('Total_Amt', 'double')]"
10,yellow_2009-11.parquet,"[('vendor_name', 'string'), ('Trip_Pickup_DateTime', 'string'), ('Trip_Dropoff_DateTime', 'string'), ('Passenger_Count', 'bigint'), ('Trip_Distance', 'double'), ('Start_Lon', 'double'), ('Start_Lat', 'double'), ('Rate_Code', 'double'), ('store_and_forward', 'double'), ('End_Lon', 'double'), ('End_Lat', 'double'), ('Payment_Type', 'string'), ('Fare_Amt', 'double'), ('surcharge', 'double'), ('mta_tax', 'double'), ('Tip_Amt', 'double'), ('Tolls_Amt', 'double'), ('Total_Amt', 'double')]"
11,yellow_2009-12.parquet,"[('vendor_name', 'string'), ('Trip_Pickup_DateTime', 'string'), ('Trip_Dropoff_DateTime', 'string'), ('Passenger_Count', 'bigint'), ('Trip_Distance', 'double'), ('Start_Lon', 'double'), ('Start_Lat', 'double'), ('Rate_Code', 'double'), ('store_and_forward', 'double'), ('End_Lon', 'double'), ('End_Lat', 'double'), ('Payment_Type', 'string'), ('Fare_Amt', 'double'), ('surcharge', 'double'), ('mta_tax', 'double'), ('Tip_Amt', 'double'), ('Tolls_Amt', 'double'), ('Total_Amt', 'double')]"
12,yellow_2010-01.parquet,"[('vendor_id', 'string'), ('pickup_datetime', 'string'), ('dropoff_datetime', 'string'), ('passenger_count', 'bigint'), ('trip_distance', 'double'), ('pickup_longitude', 'double'), ('pickup_latitude', 'double'), ('rate_code', 'string'), ('store_and_fwd_flag', 'string'), ('dropoff_longitude', 'double'), ('dropoff_latitude', 'double'), ('payment_type', 'string'), ('fare_amount', 'double'), ('surcharge', 'double'), ('mta_tax', 'double'), ('tip_amount', 'double'), ('tolls_amount', 'double'), ('total_amount', 'double')]"
13,yellow_2010-02.parquet,"[('vendor_id', 'string'), ('pickup_datetime', 'string'), ('dropoff_datetime', 'string'), ('passenger_count', 'bigint'), ('trip_distance', 'double'), ('pickup_longitude', 'double'), ('pickup_latitude', 'double'), ('rate_code', 'bigint'), ('store_and_fwd_flag', 'string'), ('dropoff_longitude', 'double'), ('dropoff_latitude', 'double'), ('payment_type', 'string'), ('fare_amount', 'double'), ('surcharge', 'double'), ('mta_tax', 'double'), ('tip_amount', 'double'), ('tolls_amount', 'double'), ('total_amount', 'double'), ('__index_level_0__', 'bigint')]"
14,yellow_2010-03.parquet,"[('vendor_id', 'string'), ('pickup_datetime', 'string'), ('dropoff_datetime', 'string'), ('passenger_count', 'bigint'), ('trip_distance', 'double'), ('pickup_longitude', 'double'), ('pickup_latitude', 'double'), ('rate_code', 'bigint'), ('store_and_fwd_flag', 'string'), ('dropoff_longitude', 'double'), ('dropoff_latitude', 'double'), ('payment_type', 'string'), ('fare_amount', 'double'), ('surcharge', 'double'), ('mta_tax', 'double'), ('tip_amount', 'double'), ('tolls_amount', 'double'), ('total_amount', 'double'), ('__index_level_0__', 'bigint')]"
15,yellow_2010-04.parquet,"[('vendor_id', 'string'), ('pickup_datetime', 'string'), ('dropoff_datetime', 'string'), ('passenger_count', 'bigint'), ('trip_distance', 'double'), ('pickup_longitude', 'double'), ('pickup_latitude', 'double'), ('rate_code', 'string'), ('store_and_fwd_flag', 'string'), ('dropoff_longitude', 'double'), ('dropoff_latitude', 'double'), ('payment_type', 'string'), ('fare_amount', 'double'), ('surcharge', 'double'), ('mta_tax', 'double'), ('tip_amount', 'double'), ('tolls_amount', 'double'), ('total_amount', 'double')]"
16,yellow_2010-05.parquet,"[('vendor_id', 'string'), ('pickup_datetime', 'string'), ('dropoff_datetime', 'string'), ('passenger_count', 'bigint'), ('trip_distance', 'double'), ('pickup_longitude', 'double'), ('pickup_latitude', 'double'), ('rate_code', 'string'), ('store_and_fwd_flag', 'string'), ('dropoff_longitude', 'double'), ('dropoff_latitude', 'double'), ('payment_type', 'string'), ('fare_amount', 'double'), ('surcharge', 'double'), ('mta_tax', 'double'), ('tip_amount', 'double'), ('tolls_amount', 'double'), ('total_amount', 'double')]"
17,yellow_2010-06.parquet,"[('vendor_id', 'string'), ('pickup_datetime', 'string'), ('dropoff_datetime', 'string'), ('passenger_count', 'bigint'), ('trip_distance', 'double'), ('pickup_longitude', 'double'), ('pickup_latitude', 'double'), ('rate_code', 'string'), ('store_and_fwd_flag', 'string'), ('dropoff_longitude', 'double'), ('dropoff_latitude', 'double'), ('payment_type', 'string'), ('fare_amount', 'double'), ('surcharge', 'double'), ('mta_tax', 'double'), ('tip_amount', 'double'), ('tolls_amount', 'double'), ('total_amount', 'double')]"
18,yellow_2010-07.parquet,"[('vendor_id', 'string'), ('pickup_datetime', 'string'), ('dropoff_datetime', 'string'), ('passenger_count', 'bigint'), ('trip_distance', 'double'), ('pickup_longitude', 'double'), ('pickup_latitude', 'double'), ('rate_code', 'string'), ('store_and_fwd_flag', 'string'), ('dropoff_longitude', 'double'), ('dropoff_latitude', 'double'), ('payment_type', 'string'), ('fare_amount', 'double'), ('surcharge', 'double'), ('mta_tax', 'double'), ('tip_amount', 'double'), ('tolls_amount', 'double'), ('total_amount', 'double')]"
19,yellow_2010-08.parquet,"[('vendor_id', 'string'), ('pickup_datetime', 'string'), ('dropoff_datetime', 'string'), ('passenger_count', 'bigint'), ('trip_distance', 'double'), ('pickup_longitude', 'double'), ('pickup_latitude', 'double'), ('rate_code', 'string'), ('store_and_fwd_flag', 'string'), ('dropoff_longitude', 'double'), ('dropoff_latitude', 'double'), ('payment_type', 'string'), ('fare_amount', 'double'), ('surcharge', 'double'), ('mta_tax', 'double'), ('tip_amount', 'double'), ('tolls_amount', 'double'), ('total_amount', 'double')]"
20,yellow_2010-09.parquet,"[('vendor_id', 'string'), ('pickup_datetime', 'string'), ('dropoff_datetime', 'string'), ('passenger_count', 'bigint'), ('trip_distance', 'double'), ('pickup_longitude', 'double'), ('pickup_latitude', 'double'), ('rate_code', 'string'), ('store_and_fwd_flag', 'string'), ('dropoff_longitude', 'double'), ('dropoff_latitude', 'double'), ('payment_type', 'string'), ('fare_amount', 'double'), ('surcharge', 'double'), ('mta_tax', 'double'), ('tip_amount', 'double'), ('tolls_amount', 'double'), ('total_amount', 'double')]"
21,yellow_2010-10.parquet,"[('vendor_id', 'string'), ('pickup_datetime', 'string'), ('dropoff_datetime', 'string'), ('passenger_count', 'bigint'), ('trip_distance', 'double'), ('pickup_longitude', 'double'), ('pickup_latitude', 'double'), ('rate_code', 'string'), ('store_and_fwd_flag', 'string'), ('dropoff_longitude', 'double'), ('dropoff_latitude', 'double'), ('payment_type', 'string'), ('fare_amount', 'double'), ('surcharge', 'double'), ('mta_tax', 'double'), ('tip_amount', 'double'), ('tolls_amount', 'double'), ('total_amount', 'double')]"
22,yellow_2010-11.parquet,"[('vendor_id', 'string'), ('pickup_datetime', 'string'), ('dropoff_datetime', 'string'), ('passenger_count', 'bigint'), ('trip_distance', 'double'), ('pickup_longitude', 'double'), ('pickup_latitude', 'double'), ('rate_code', 'string'), ('store_and_fwd_flag', 'string'), ('dropoff_longitude', 'double'), ('dropoff_latitude', 'double'), ('payment_type', 'string'), ('fare_amount', 'double'), ('surcharge', 'double'), ('mta_tax', 'double'), ('tip_amount', 'double'), ('tolls_amount', 'double'), ('total_amount', 'double')]"
23,yellow_2010-12.parquet,"[('vendor_id', 'string'), ('pickup_datetime', 'string'), ('dropoff_datetime', 'string'), ('passenger_count', 'bigint'), ('trip_distance', 'double'), ('pickup_longitude', 'double'), ('pickup_latitude', 'double'), ('rate_code', 'string'), ('store_and_fwd_flag', 'string'), ('dropoff_longitude', 'double'), ('dropoff_latitude', 'double'), ('payment_type', 'string'), ('fare_amount', 'double'), ('surcharge', 'double'), ('mta_tax', 'double'), ('tip_amount', 'double'), ('tolls_amount', 'double'), ('total_amount', 'double')]"
24,yellow_2011-01.parquet,"[('VendorID', 'bigint'), ('tpep_pickup_datetime', 'timestamp'), ('tpep_dropoff_datetime', 'timestamp'), ('passenger_count', 'bigint'), ('trip_distance', 'double'), ('RatecodeID', 'bigint'), ('store_and_fwd_flag', 'string'), ('PULocationID', 'bigint'), ('DOLocationID', 'bigint'), ('payment_type', 'bigint'), ('fare_amount', 'double'), ('extra', 'double'), ('mta_tax', 'double'), ('tip_amount', 'double'), ('tolls_amount', 'double'), ('improvement_surcharge', 'double'), ('total_amount', 'double'), ('congestion_surcharge', 'double'), ('airport_fee', 'double')]"
25,yellow_2011-02.parquet,"[('VendorID', 'bigint'), ('tpep_pickup_datetime', 'timestamp'), ('tpep_dropoff_datetime', 'timestamp'), ('passenger_count', 'bigint'), ('trip_distance', 'double'), ('RatecodeID', 'bigint'), ('store_and_fwd_flag', 'string'), ('PULocationID', 'bigint'), ('DOLocationID', 'bigint'), ('payment_type', 'bigint'), ('fare_amount', 'double'), ('extra', 'double'), ('mta_tax', 'double'), ('tip_amount', 'double'), ('tolls_amount', 'double'), ('improvement_surcharge', 'double'), ('total_amount', 'double'), ('congestion_surcharge', 'int'), ('airport_fee', 'int')]"
26,yellow_2011-03.parquet,"[('VendorID', 'bigint'), ('tpep_pickup_datetime', 'timestamp'), ('tpep_dropoff_datetime', 'timestamp'), ('passenger_count', 'bigint'), ('trip_distance', 'double'), ('RatecodeID', 'bigint'), ('store_and_fwd_flag', 'string'), ('PULocationID', 'bigint'), ('DOLocationID', 'bigint'), ('payment_type', 'bigint'), ('fare_amount', 'double'), ('extra', 'double'), ('mta_tax', 'double'), ('tip_amount', 'double'), ('tolls_amount', 'double'), ('improvement_surcharge', 'double'), ('total_amount', 'double'), ('congestion_surcharge', 'double'), ('airport_fee', 'int')]"
27,yellow_2011-04.parquet,"[('VendorID', 'bigint'), ('tpep_pickup_datetime', 'timestamp'), ('tpep_dropoff_datetime', 'timestamp'), ('passenger_count', 'bigint'), ('trip_distance', 'double'), ('RatecodeID', 'bigint'), ('store_and_fwd_flag', 'string'), ('PULocationID', 'bigint'), ('DOLocationID', 'bigint'), ('payment_type', 'bigint'), ('fare_amount', 'double'), ('extra', 'double'), ('mta_tax', 'double'), ('tip_amount', 'double'), ('tolls_amount', 'double'), ('improvement_surcharge', 'double'), ('total_amount', 'double'), ('congestion_surcharge', 'int'), ('airport_fee', 'int')]"
28,yellow_2011-05.parquet,"[('VendorID', 'bigint'), ('tpep_pickup_datetime', 'timestamp'), ('tpep_dropoff_datetime', 'timestamp'), ('passenger_count', 'bigint'), ('trip_distance', 'double'), ('RatecodeID', 'bigint'), ('store_and_fwd_flag', 'string'), ('PULocationID', 'bigint'), ('DOLocationID', 'bigint'), ('payment_type', 'bigint'), ('fare_amount', 'double'), ('extra', 'double'), ('mta_tax', 'double'), ('tip_amount', 'double'), ('tolls_amount', 'double'), ('improvement_surcharge', 'double'), ('total_amount', 'double'), ('congestion_surcharge', 'int'), ('airport_fee', 'int')]"
29,yellow_2011-06.parquet,"[('VendorID', 'bigint'), ('tpep_pickup_datetime', 'timestamp'), ('tpep_dropoff_datetime', 'timestamp'), ('passenger_count', 'bigint'), ('trip_distance', 'double'), ('RatecodeID', 'bigint'), ('store_and_fwd_flag', 'string'), ('PULocationID', 'bigint'), ('DOLocationID', 'bigint'), ('payment_type', 'bigint'), ('fare_amount', 'double'), ('extra', 'double'), ('mta_tax', 'double'), ('tip_amount', 'double'), ('tolls_amount', 'double'), ('improvement_surcharge', 'double'), ('total_amount', 'double'), ('congestion_surcharge', 'int'), ('airport_fee', 'int')]"
30,yellow_2011-07.parquet,"[('VendorID', 'bigint'), ('tpep_pickup_datetime', 'timestamp'), ('tpep_dropoff_datetime', 'timestamp'), ('passenger_count', 'bigint'), ('trip_distance', 'double'), ('RatecodeID', 'bigint'), ('store_and_fwd_flag', 'string'), ('PULocationID', 'bigint'), ('DOLocationID', 'bigint'), ('payment_type', 'bigint'), ('fare_amount', 'double'), ('extra', 'double'), ('mta_tax', 'double'), ('tip_amount', 'double'), ('tolls_amount', 'double'), ('improvement_surcharge', 'double'), ('total_amount', 'double'), ('congestion_surcharge', 'int'), ('airport_fee', 'int')]"
31,yellow_2011-08.parquet,"[('VendorID', 'bigint'), ('tpep_pickup_datetime', 'timestamp'), ('tpep_dropoff_datetime', 'timestamp'), ('passenger_count', 'bigint'), ('trip_distance', 'double'), ('RatecodeID', 'bigint'), ('store_and_fwd_flag', 'string'), ('PULocationID', 'bigint'), ('DOLocationID', 'bigint'), ('payment_type', 'bigint'), ('fare_amount', 'double'), ('extra', 'double'), ('mta_tax', 'double'), ('tip_amount', 'double'), ('tolls_amount', 'double'), ('improvement_surcharge', 'double'), ('total_amount', 'double'), ('congestion_surcharge', 'int'), ('airport_fee', 'int')]"
32,yellow_2011-09.parquet,"[('VendorID', 'bigint'), ('tpep_pickup_datetime', 'timestamp'), ('tpep_dropoff_datetime', 'timestamp'), ('passenger_count', 'bigint'), ('trip_distance', 'double'), ('RatecodeID', 'bigint'), ('store_and_fwd_flag', 'string'), ('PULocationID', 'bigint'), ('DOLocationID', 'bigint'), ('payment_type', 'bigint'), ('fare_amount', 'double'), ('extra', 'double'), ('mta_tax', 'double'), ('tip_amount', 'double'), ('tolls_amount', 'double'), ('improvement_surcharge', 'double'), ('total_amount', 'double'), ('congestion_surcharge', 'int'), ('airport_fee', 'int')]"
33,yellow_2011-10.parquet,"[('VendorID', 'bigint'), ('tpep_pickup_datetime', 'timestamp'), ('tpep_dropoff_datetime', 'timestamp'), ('passenger_count', 'bigint'), ('trip_distance', 'double'), ('RatecodeID', 'bigint'), ('store_and_fwd_flag', 'string'), ('PULocationID', 'bigint'), ('DOLocationID', 'bigint'), ('payment_type', 'bigint'), ('fare_amount', 'double'), ('extra', 'double'), ('mta_tax', 'double'), ('tip_amount', 'double'), ('tolls_amount', 'double'), ('improvement_surcharge', 'double'), ('total_amount', 'double'), ('congestion_surcharge', 'int'), ('airport_fee', 'int')]"
34,yellow_2011-11.parquet,"[('VendorID', 'bigint'), ('tpep_pickup_datetime', 'timestamp'), ('tpep_dropoff_datetime', 'timestamp'), ('passenger_count', 'bigint'), ('trip_distance', 'double'), ('RatecodeID', 'bigint'), ('store_and_fwd_flag', 'string'), ('PULocationID', 'bigint'), ('DOLocationID', 'bigint'), ('payment_type', 'bigint'), ('fare_amount', 'double'), ('extra', 'double'), ('mta_tax', 'double'), ('tip_amount', 'double'), ('tolls_amount', 'double'), ('improvement_surcharge', 'double'), ('total_amount', 'double'), ('congestion_surcharge', 'int'), ('airport_fee', 'int')]"
35,yellow_2011-12.parquet,"[('VendorID', 'bigint'), ('tpep_pickup_datetime', 'timestamp'), ('tpep_dropoff_datetime', 'timestamp'), ('passenger_count', 'bigint'), ('trip_distance', 'double'), ('RatecodeID', 'bigint'), ('store_and_fwd_flag', 'string'), ('PULocationID', 'bigint'), ('DOLocationID', 'bigint'), ('payment_type', 'bigint'), ('fare_amount', 'double'), ('extra', 'double'), ('mta_tax', 'double'), ('tip_amount', 'double'), ('tolls_amount', 'double'), ('improvement_surcharge', 'double'), ('total_amount', 'double'), ('congestion_surcharge', 'int'), ('airport_fee', 'int')]"
36,yellow_2012-01.parquet,"[('VendorID', 'bigint'), ('tpep_pickup_datetime', 'timestamp'), ('tpep_dropoff_datetime', 'timestamp'), ('passenger_count', 'bigint'), ('trip_distance', 'double'), ('RatecodeID', 'bigint'), ('store_and_fwd_flag', 'string'), ('PULocationID', 'bigint'), ('DOLocationID', 'bigint'), ('payment_type', 'bigint'), ('fare_amount', 'double'), ('extra', 'double'), ('mta_tax', 'double'), ('tip_amount', 'double'), ('tolls_amount', 'double'), ('improvement_surcharge', 'double'), ('total_amount', 'double'), ('congestion_surcharge', 'int'), ('airport_fee', 'int')]"
37,yellow_2012-02.parquet,"[('VendorID', 'bigint'), ('tpep_pickup_datetime', 'timestamp'), ('tpep_dropoff_datetime', 'timestamp'), ('passenger_count', 'bigint'), ('trip_distance', 'double'), ('RatecodeID', 'bigint'), ('store_and_fwd_flag', 'string'), ('PULocationID', 'bigint'), ('DOLocationID', 'bigint'), ('payment_type', 'bigint'), ('fare_amount', 'double'), ('extra', 'double'), ('mta_tax', 'double'), ('tip_amount', 'double'), ('tolls_amount', 'double'), ('improvement_surcharge', 'double'), ('total_amount', 'double'), ('congestion_surcharge', 'int'), ('airport_fee', 'int')]"
38,yellow_2012-03.parquet,"[('VendorID', 'bigint'), ('tpep_pickup_datetime', 'timestamp'), ('tpep_dropoff_datetime', 'timestamp'), ('passenger_count', 'bigint'), ('trip_distance', 'double'), ('RatecodeID', 'bigint'), ('store_and_fwd_flag', 'string'), ('PULocationID', 'bigint'), ('DOLocationID', 'bigint'), ('payment_type', 'bigint'), ('fare_amount', 'double'), ('extra', 'double'), ('mta_tax', 'double'), ('tip_amount', 'double'), ('tolls_amount', 'double'), ('improvement_surcharge', 'double'), ('total_amount', 'double'), ('congestion_surcharge', 'int'), ('airport_fee', 'int')]"
39,yellow_2012-04.parquet,"[('VendorID', 'bigint'), ('tpep_pickup_datetime', 'timestamp'), ('tpep_dropoff_datetime', 'timestamp'), ('passenger_count', 'bigint'), ('trip_distance', 'double'), ('RatecodeID', 'bigint'), ('store_and_fwd_flag', 'string'), ('PULocationID', 'bigint'), ('DOLocationID', 'bigint'), ('payment_type', 'bigint'), ('fare_amount', 'double'), ('extra', 'double'), ('mta_tax', 'double'), ('tip_amount', 'double'), ('tolls_amount', 'double'), ('improvement_surcharge', 'double'), ('total_amount', 'double'), ('congestion_surcharge', 'int'), ('airport_fee', 'int')]"
40,yellow_2012-05.parquet,"[('VendorID', 'bigint'), ('tpep_pickup_datetime', 'timestamp'), ('tpep_dropoff_datetime', 'timestamp'), ('passenger_count', 'bigint'), ('trip_distance', 'double'), ('RatecodeID', 'bigint'), ('store_and_fwd_flag', 'string'), ('PULocationID', 'bigint'), ('DOLocationID', 'bigint'), ('payment_type', 'bigint'), ('fare_amount', 'double'), ('extra', 'double'), ('mta_tax', 'double'), ('tip_amount', 'double'), ('tolls_amount', 'double'), ('improvement_surcharge', 'double'), ('total_amount', 'double'), ('congestion_surcharge', 'int'), ('airport_fee', 'int')]"
41,yellow_2012-06.parquet,"[('VendorID', 'bigint'), ('tpep_pickup_datetime', 'timestamp'), ('tpep_dropoff_datetime', 'timestamp'), ('passenger_count', 'bigint'), ('trip_distance', 'double'), ('RatecodeID', 'bigint'), ('store_and_fwd_flag', 'string'), ('PULocationID', 'bigint'), ('DOLocationID', 'bigint'), ('payment_type', 'bigint'), ('fare_amount', 'double'), ('extra', 'double'), ('mta_tax', 'double'), ('tip_amount', 'double'), ('tolls_amount', 'double'), ('improvement_surcharge', 'double'), ('total_amount', 'double'), ('congestion_surcharge', 'int'), ('airport_fee', 'int')]"
42,yellow_2012-07.parquet,"[('VendorID', 'bigint'), ('tpep_pickup_datetime', 'timestamp'), ('tpep_dropoff_datetime', 'timestamp'), ('passenger_count', 'bigint'), ('trip_distance', 'double'), ('RatecodeID', 'bigint'), ('store_and_fwd_flag', 'string'), ('PULocationID', 'bigint'), ('DOLocationID', 'bigint'), ('payment_type', 'bigint'), ('fare_amount', 'double'), ('extra', 'double'), ('mta_tax', 'double'), ('tip_amount', 'double'), ('tolls_amount', 'double'), ('improvement_surcharge', 'double'), ('total_amount', 'double'), ('congestion_surcharge', 'int'), ('airport_fee', 'int')]"
